ID: 631, Macro-label: focus d2 -- studente, Author: ADZ, Value: 1
ID: 631, Macro-label: focus d2 -- studente, Author: CM, Value: 1
ID: 631, Macro-label: focus d2 -- studente, Author: EN, Value: 1
ID: 631, Macro-label: focus d2 -- studente, Author: GA, Value: 1
ID: 631, Macro-label: focus d2 -- studente, Author: LF, Value: 1
ID: 631, Macro-label: focus d2 -- studente, Author: ML, Value: 1
ID: 636, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ADZ, Value: 1
ID: 636, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: CM, Value: 1
ID: 636, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: EN, Value: 1
ID: 636, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: GA, Value: 1
ID: 636, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: LF, Value: 1
ID: 636, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ML, Value: 1
ID: 636, Macro-label: attività -- coding, Author: ADZ, Value: 1
ID: 636, Macro-label: attività -- coding, Author: CM, Value: 1
ID: 636, Macro-label: attività -- coding, Author: EN, Value: 1
ID: 636, Macro-label: attività -- coding, Author: GA, Value: 1
ID: 636, Macro-label: attività -- coding, Author: LF, Value: 1
ID: 636, Macro-label: attività -- coding, Author: ML, Value: 1
ID: 636, Macro-label: attività -- programmazione, Author: ADZ, Value: 1
ID: 636, Macro-label: attività -- programmazione, Author: CM, Value: 1
ID: 636, Macro-label: attività -- programmazione, Author: EN, Value: 1
ID: 636, Macro-label: attività -- programmazione, Author: GA, Value: 1
ID: 636, Macro-label: attività -- programmazione, Author: LF, Value: 1
ID: 636, Macro-label: attività -- programmazione, Author: ML, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: ADZ, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: CM, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: EN, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: GA, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: LF, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: ML, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- scratch, Author: ADZ, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- scratch, Author: CM, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- scratch, Author: EN, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- scratch, Author: GA, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- scratch, Author: LF, Value: 1
ID: 636, Macro-label: piattaforma/ ambiente -- scratch, Author: ML, Value: 1
ID: 636, Macro-label: risposta generica d2 -- vuoto-d2, Author: ADZ, Value: 1
ID: 636, Macro-label: risposta generica d2 -- vuoto-d2, Author: CM, Value: 1
ID: 636, Macro-label: risposta generica d2 -- vuoto-d2, Author: EN, Value: 1
ID: 636, Macro-label: risposta generica d2 -- vuoto-d2, Author: GA, Value: 1
ID: 636, Macro-label: risposta generica d2 -- vuoto-d2, Author: LF, Value: 1
ID: 636, Macro-label: risposta generica d2 -- vuoto-d2, Author: ML, Value: 1
ID: 636, Macro-label: risposta generica d3 -- vuoto-d3, Author: ADZ, Value: 1
ID: 636, Macro-label: risposta generica d3 -- vuoto-d3, Author: CM, Value: 1
ID: 636, Macro-label: risposta generica d3 -- vuoto-d3, Author: EN, Value: 1
ID: 636, Macro-label: risposta generica d3 -- vuoto-d3, Author: GA, Value: 1
ID: 636, Macro-label: risposta generica d3 -- vuoto-d3, Author: LF, Value: 1
ID: 636, Macro-label: risposta generica d3 -- vuoto-d3, Author: ML, Value: 1
ID: 638, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ADZ, Value: 1
ID: 638, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: CM, Value: 1
ID: 638, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: EN, Value: 1
ID: 638, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: GA, Value: 1
ID: 638, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: LF, Value: 1
ID: 638, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ML, Value: 1
ID: 638, Macro-label: attività -- coding, Author: ADZ, Value: 1
ID: 638, Macro-label: attività -- coding, Author: CM, Value: 1
ID: 638, Macro-label: attività -- coding, Author: EN, Value: 1
ID: 638, Macro-label: attività -- coding, Author: GA, Value: 1
ID: 638, Macro-label: attività -- coding, Author: LF, Value: 1
ID: 638, Macro-label: attività -- coding, Author: ML, Value: 1
ID: 638, Macro-label: obiettivi disciplinari -- generico, Author: ADZ, Value: 1
ID: 638, Macro-label: obiettivi disciplinari -- generico, Author: CM, Value: 1
ID: 638, Macro-label: obiettivi disciplinari -- generico, Author: EN, Value: 1
ID: 638, Macro-label: obiettivi disciplinari -- generico, Author: GA, Value: 1
ID: 638, Macro-label: obiettivi disciplinari -- generico, Author: LF, Value: 1
ID: 638, Macro-label: obiettivi disciplinari -- generico, Author: ML, Value: 1
ID: 638, Macro-label: abilità strumentali digitali -- uso di strumenti digitali, Author: ADZ, Value: 1
ID: 638, Macro-label: abilità strumentali digitali -- uso di strumenti digitali, Author: CM, Value: 1
ID: 638, Macro-label: abilità strumentali digitali -- uso di strumenti digitali, Author: EN, Value: 1
ID: 638, Macro-label: abilità strumentali digitali -- uso di strumenti digitali, Author: GA, Value: 1
ID: 638, Macro-label: abilità strumentali digitali -- uso di strumenti digitali, Author: LF, Value: 1
ID: 638, Macro-label: abilità strumentali digitali -- uso di strumenti digitali, Author: ML, Value: 1
ID: 638, Macro-label: interdisciplinarità -- geografia, Author: ADZ, Value: 1
ID: 638, Macro-label: interdisciplinarità -- geografia, Author: CM, Value: 1
ID: 638, Macro-label: interdisciplinarità -- geografia, Author: EN, Value: 1
ID: 638, Macro-label: interdisciplinarità -- geografia, Author: GA, Value: 1
ID: 638, Macro-label: interdisciplinarità -- geografia, Author: LF, Value: 1
ID: 638, Macro-label: interdisciplinarità -- geografia, Author: ML, Value: 1
ID: 638, Macro-label: interdisciplinarità -- matematica, Author: ADZ, Value: 1
ID: 638, Macro-label: interdisciplinarità -- matematica, Author: CM, Value: 1
ID: 638, Macro-label: interdisciplinarità -- matematica, Author: EN, Value: 1
ID: 638, Macro-label: interdisciplinarità -- matematica, Author: GA, Value: 1
ID: 638, Macro-label: interdisciplinarità -- matematica, Author: LF, Value: 1
ID: 638, Macro-label: interdisciplinarità -- matematica, Author: ML, Value: 1
ID: 638, Macro-label: risposta generica d2 -- generico-d2, Author: ADZ, Value: 1
ID: 638, Macro-label: risposta generica d2 -- generico-d2, Author: CM, Value: 1
ID: 638, Macro-label: risposta generica d2 -- generico-d2, Author: EN, Value: 1
ID: 638, Macro-label: risposta generica d2 -- generico-d2, Author: GA, Value: 1
ID: 638, Macro-label: risposta generica d2 -- generico-d2, Author: LF, Value: 1
ID: 638, Macro-label: risposta generica d2 -- generico-d2, Author: ML, Value: 1
ID: 643, Macro-label: materiali/strumenti fisici -- cancelleria/uso comune, Author: ADZ, Value: 1
ID: 643, Macro-label: materiali/strumenti fisici -- cancelleria/uso comune, Author: CM, Value: 1
ID: 643, Macro-label: materiali/strumenti fisici -- cancelleria/uso comune, Author: EN, Value: 1
ID: 643, Macro-label: materiali/strumenti fisici -- cancelleria/uso comune, Author: GA, Value: 1
ID: 643, Macro-label: materiali/strumenti fisici -- cancelleria/uso comune, Author: LF, Value: 1
ID: 643, Macro-label: materiali/strumenti fisici -- cancelleria/uso comune, Author: ML, Value: 1
ID: 643, Macro-label: attività -- unplugged, Author: ADZ, Value: 1
ID: 643, Macro-label: attività -- unplugged, Author: CM, Value: 1
ID: 643, Macro-label: attività -- unplugged, Author: EN, Value: 1
ID: 643, Macro-label: attività -- unplugged, Author: GA, Value: 1
ID: 643, Macro-label: attività -- unplugged, Author: LF, Value: 1
ID: 643, Macro-label: attività -- unplugged, Author: ML, Value: 1
ID: 643, Macro-label: obiettivi disciplinari -- algoritmica, Author: ADZ, Value: 1
ID: 643, Macro-label: obiettivi disciplinari -- algoritmica, Author: CM, Value: 1
ID: 643, Macro-label: obiettivi disciplinari -- algoritmica, Author: EN, Value: 1
ID: 643, Macro-label: obiettivi disciplinari -- algoritmica, Author: GA, Value: 1
ID: 643, Macro-label: obiettivi disciplinari -- algoritmica, Author: LF, Value: 1
ID: 643, Macro-label: obiettivi disciplinari -- algoritmica, Author: ML, Value: 1
ID: 643, Macro-label: obiettivi pertinenti -- problem solving, Author: ADZ, Value: 1
ID: 643, Macro-label: obiettivi pertinenti -- problem solving, Author: CM, Value: 1
ID: 643, Macro-label: obiettivi pertinenti -- problem solving, Author: EN, Value: 1
ID: 643, Macro-label: obiettivi pertinenti -- problem solving, Author: GA, Value: 1
ID: 643, Macro-label: obiettivi pertinenti -- problem solving, Author: LF, Value: 1
ID: 643, Macro-label: obiettivi pertinenti -- problem solving, Author: ML, Value: 1
ID: 643, Macro-label: focus d2 -- insegnante, Author: ADZ, Value: 1
ID: 643, Macro-label: focus d2 -- insegnante, Author: CM, Value: 1
ID: 643, Macro-label: focus d2 -- insegnante, Author: EN, Value: 1
ID: 643, Macro-label: focus d2 -- insegnante, Author: GA, Value: 1
ID: 643, Macro-label: focus d2 -- insegnante, Author: LF, Value: 1
ID: 643, Macro-label: focus d2 -- insegnante, Author: ML, Value: 1
ID: 646, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ADZ, Value: 1
ID: 646, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: CM, Value: 1
ID: 646, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: EN, Value: 1
ID: 646, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: GA, Value: 1
ID: 646, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: LF, Value: 1
ID: 646, Macro-label: materiali/strumenti fisici -- pc/tablet, Author: ML, Value: 1
ID: 646, Macro-label: attività -- programmazione, Author: ADZ, Value: 1
ID: 646, Macro-label: attività -- programmazione, Author: CM, Value: 1
ID: 646, Macro-label: attività -- programmazione, Author: EN, Value: 1
ID: 646, Macro-label: attività -- programmazione, Author: GA, Value: 1
ID: 646, Macro-label: attività -- programmazione, Author: LF, Value: 1
ID: 646, Macro-label: attività -- programmazione, Author: ML, Value: 1
ID: 646, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: ADZ, Value: 1
ID: 646, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: CM, Value: 1
ID: 646, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: EN, Value: 1
ID: 646, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: GA, Value: 1
ID: 646, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: LF, Value: 1
ID: 646, Macro-label: piattaforma/ ambiente -- code.org / programma il futuro, Author: ML, Value: 1
ID: 646, Macro-label: metodologia -- forse, Author: ADZ, Value: 1
ID: 646, Macro-label: metodologia -- forse, Author: CM, Value: 1
ID: 646, Macro-label: metodologia -- forse, Author: EN, Value: 1
ID: 646, Macro-label: metodologia -- forse, Author: GA, Value: 1
ID: 646, Macro-label: metodologia -- forse, Author: LF, Value: 1
ID: 646, Macro-label: metodologia -- forse, Author: ML, Value: 1
ID: 646, Macro-label: obiettivi disciplinari -- programmazione (specifici), Author: ADZ, Value: 1
ID: 646, Macro-label: obiettivi disciplinari -- programmazione (specifici), Author: CM, Value: 1
