D2_cicli: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_conoscere le istruzioni del linguaggio: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_concetti base della programmazione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_concetti base della programmazione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_utilizzare espressioni condizionali: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D3_manipolazione: PROGRAMMAZIONE (specifici), obiettivi disciplinari
D2_informatica: GENERICO, obiettivi disciplinari
D1_pensiero computazionale: GENERICO, obiettivi disciplinari
D2_pensiero computazionale: GENERICO, obiettivi disciplinari
D2_coding: GENERICO, obiettivi disciplinari
D3_coding: GENERICO, obiettivi disciplinari
D2_abilità informatiche: GENERICO, obiettivi disciplinari
D3_abilità informatiche: GENERICO, obiettivi disciplinari
D3_obiettivi piattaforma: GENERICO, obiettivi disciplinari
D3_robotica educativa: GENERICO, obiettivi disciplinari
D2_coniugare informatica e pratica: GENERICO, obiettivi disciplinari
D2_scomposizione problemi: METODI, obiettivi disciplinari
D3_decomposizione: METODI, obiettivi disciplinari
D3_modellazione dell'informazione: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D3_pixel art: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D3_analisi dati e organizzazione: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D3_rappresentazione dei dati/ informazione: RAPPRESENTAZIONE DELL'INFORMAZIONE, obiettivi disciplinari
D2_verifica/ correzione di programmi: VERIFICA/ CORREZIONE, obiettivi disciplinari
D3_verifica/ correzione errori: VERIFICA/ CORREZIONE, obiettivi disciplinari
D2_esecuzione di istruzioni: PRATICHE, obiettivi disciplinari
D2_mettersi dal punto di vista dell'altro per input: PRATICHE, obiettivi disciplinari
D2_leggere comandi e trasformarli in output: PRATICHE, obiettivi disciplinari
D2_svolgere (?) algoritmi: PRATICHE, obiettivi disciplinari
D2_algoritmi quotidiani: ALGORITMICA, obiettivi disciplinari
D2_descrizioni algoritmiche: ALGORITMICA, obiettivi disciplinari
D2_soluzioni algoritmiche: ALGORITMICA, obiettivi disciplinari
D3_soluzioni algoritmiche: ALGORITMICA, obiettivi disciplinari
D2_scrittura e uso di diagrammi di flusso: ALGORITMICA, obiettivi disciplinari
D3_potenzialità del linguaggio informatico di descrivere altre attività: ALGORITMICA, obiettivi disciplinari
D3_rappresentare processi mediante modelli logici: ALGORITMICA, obiettivi disciplinari
D3_descrizione algoritmica di processi concreti: ALGORITMICA, obiettivi disciplinari
D1_intelligenza artificiale: INTELLIGENZA ARTIFICIALE, obiettivi disciplinari
D2_intelligenza artificiale: INTELLIGENZA ARTIFICIALE, obiettivi disciplinari
D2_uso IA: INTELLIGENZA ARTIFICIALE, obiettivi disciplinari
D2_automatizzazione risoluzione di problemi: RISOLUZIONE COMPUTAZIONALE DEI PROBLEMI, obiettivi disciplinari
D2_generalizzazione processo di soluzione: RISOLUZIONE COMPUTAZIONALE DEI PROBLEMI, obiettivi disciplinari
D2_programmazione per la risoluzione di problemi: RISOLUZIONE COMPUTAZIONALE DEI PROBLEMI, obiettivi disciplinari
D2_problem posing computazionale: RISOLUZIONE COMPUTAZIONALE DEI PROBLEMI, obiettivi disciplinari
D3_risoluzione computazionale di problemi: RISOLUZIONE COMPUTAZIONALE DEI PROBLEMI, obiettivi disciplinari
D2_consapevolezza digitale: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D2_scelta degli strumenti: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D3_scelta degli strumenti: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D2_responsabilizzare: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D2_uso consapevole/critico della tecnologia/rete: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D3_selezione strumenti: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D3_uso sicuro della tecnologia: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D3_uso consapevole della tecnologia: CONSAPEVOLEZZA DIGITALE, obiettivi disciplinari
D1_risoluzione di problemi: PROBLEM SOLVING, obiettivi pertinenti
D2_problem solving: PROBLEM SOLVING, obiettivi pertinenti
D3_risoluzione di problemi: PROBLEM SOLVING, obiettivi pertinenti
D3_comprensione/analisi del problema: PROBLEM SOLVING, obiettivi pertinenti
D3_considerare diverse strategie risolutive: PROBLEM SOLVING, obiettivi pertinenti
D3_valutazione della soluzione: PROBLEM SOLVING, obiettivi pertinenti
D3_differenti strategie di risoluzione: PROBLEM SOLVING, obiettivi pertinenti
D3_approccio per tentativi ed errori: PROBLEM SOLVING, obiettivi pertinenti
D3_formulazione di ipotesi: PROBLEM SOLVING, obiettivi pertinenti
D3_formulazione di domande: PROBLEM SOLVING, obiettivi pertinenti
D2_logica/ pensiero logico/ competenze logiche: LOGICA, obiettivi pertinenti
D2_pensiero logico: LOGICA, obiettivi pertinenti
D3_pensiero logico: LOGICA, obiettivi pertinenti
D2_progettazione: PROGETTAZIONE, obiettivi pertinenti
D2_progettazione robotica: PROGETTAZIONE, obiettivi pertinenti
D2_progettare un percorso: PROGETTAZIONE, obiettivi pertinenti
D2_smontare oggetti: PROGETTAZIONE E SVILUPPO OGGETTI, obiettivi pertinenti
D2_pianificare fabbricazione oggetti: PROGETTAZIONE E SVILUPPO OGGETTI, obiettivi pertinenti
D2_migliorare oggetti: PROGETTAZIONE E SVILUPPO OGGETTI, obiettivi pertinenti
D2_analizzare oggetti: PROGETTAZIONE E SVILUPPO OGGETTI, obiettivi pertinenti
D2_riconoscere difetti: PROGETTAZIONE E SVILUPPO OGGETTI, obiettivi pertinenti
D2_animazione digitale: CREATIVITÀ DIGITALE, obiettivi pertinenti
D2_narrazione digitale: CREATIVITÀ DIGITALE, obiettivi pertinenti
D3_narrazione digitale con programmazione: CREATIVITÀ DIGITALE, obiettivi pertinenti
D3_storie interattive e animazioni: CREATIVITÀ DIGITALE, obiettivi pertinenti
D2_generico: GENERICO-D2, risposta generica D2
D2_vuoto: VUOTO-D2, risposta generica D2
D2_contenuto: CONTENUTO, focus D2
D2_insegnante: INSEGNANTE, focus D2
D2_studente: STUDENTE, focus D2
D2_alfabetizzazione digitale: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D3_alfabetizzazione digitale: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_uso dei mezzi di comunicazione: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D1_uso della tecnologia: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_uso della tecnologia: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_piattaforma di debate: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_uso di giochi didattici: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_uso di Internet: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D1_videoscrittura: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_videoscrittura: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D1_videotutorial: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D3_competenze digitali: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D3_uso di siti web: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D1_uso di app didattiche: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D1_sviluppo contenuti: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_utilizzo di robot: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D2_ricerca di informazioni su Internet: USO DI STRUMENTI DIGITALI, abilità strumentali digitali
D1_pensiero critico: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
D3_pensiero critico: PROCESSI COGNITIVI, soft skills/ trasversali/ metacognizione
