Macro-etichetta: materiali/strumenti fisici -- pc/tablet
  ID: 738, Value: 6
  ID: 744, Value: 6
  ID: 745, Value: 6
  ID: 749, Value: 6
  ID: 759, Value: 6
  ID: 767, Value: 6
  ID: 774, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 548, Value: 3
  ID: 550, Value: 5
  ID: 553, Value: 2
  ID: 556, Value: 5
  ID: 569, Value: 6
  ID: 570, Value: 5
  ID: 584, Value: 3
  ID: 589, Value: 5
  ID: 605, Value: 2
  ID: 607, Value: 6
  ID: 612, Value: 5
  ID: 626, Value: 5
  ID: 629, Value: 1
  ID: 572, Value: 2
  ID: 581, Value: 5
  ID: 582, Value: 3
  ID: 613, Value: 1
Macro-etichetta: attività -- coding
  ID: 636, Value: 6
  ID: 638, Value: 6
  ID: 652, Value: 6
  ID: 654, Value: 6
  ID: 659, Value: 6
  ID: 680, Value: 6
  ID: 728, Value: 6
  ID: 738, Value: 6
  ID: 745, Value: 6
  ID: 550, Value: 4
  ID: 589, Value: 5
  ID: 556, Value: 3
  ID: 605, Value: 3
  ID: 626, Value: 4
  ID: 581, Value: 1
  ID: 629, Value: 2
  ID: 553, Value: 1
  ID: 572, Value: 1
  ID: 603, Value: 1
  ID: 607, Value: 1
  ID: 613, Value: 1
  ID: 617, Value: 1
Macro-etichetta: piattaforma/ ambiente -- scratch
  ID: 636, Value: 6
  ID: 654, Value: 6
  ID: 662, Value: 6
  ID: 756, Value: 6
  ID: 759, Value: 6
  ID: 605, Value: 6
  ID: 607, Value: 6
  ID: 617, Value: 4
Macro-etichetta: risposta generica d2 -- vuoto-d2
  ID: 636, Value: 6
  ID: 569, Value: 1
  ID: 572, Value: 1
  ID: 580, Value: 1
  ID: 581, Value: 1
  ID: 605, Value: 1
Macro-etichetta: risposta generica d3 -- vuoto-d3
  ID: 636, Value: 6
  ID: 646, Value: 6
  ID: 682, Value: 6
  ID: 740, Value: 6
  ID: 745, Value: 6
  ID: 756, Value: 6
  ID: 550, Value: 6
  ID: 569, Value: 5
  ID: 603, Value: 6
  ID: 613, Value: 6
  ID: 617, Value: 6
  ID: 584, Value: 1
  ID: 605, Value: 1
Macro-etichetta: abilità strumentali digitali -- uso di strumenti digitali
  ID: 638, Value: 6
  ID: 658, Value: 6
  ID: 659, Value: 6
  ID: 681, Value: 6
  ID: 690, Value: 6
  ID: 706, Value: 6
  ID: 717, Value: 6
  ID: 723, Value: 6
  ID: 745, Value: 6
  ID: 749, Value: 6
  ID: 767, Value: 6
  ID: 788, Value: 6
  ID: 550, Value: 6
  ID: 569, Value: 6
  ID: 570, Value: 6
  ID: 572, Value: 6
  ID: 582, Value: 5
  ID: 607, Value: 6
  ID: 548, Value: 1
  ID: 584, Value: 1
Macro-etichetta: interdisciplinarità -- geografia
  ID: 638, Value: 6
  ID: 766, Value: 6
  ID: 550, Value: 2
Macro-etichetta: interdisciplinarità -- matematica
  ID: 638, Value: 6
  ID: 688, Value: 6
  ID: 698, Value: 6
  ID: 706, Value: 6
  ID: 717, Value: 6
  ID: 723, Value: 6
  ID: 730, Value: 6
  ID: 766, Value: 6
  ID: 773, Value: 6
  ID: 553, Value: 6
  ID: 550, Value: 1
Macro-etichetta: risposta generica d2 -- generico-d2
  ID: 638, Value: 6
  ID: 658, Value: 6
  ID: 668, Value: 6
  ID: 680, Value: 6
  ID: 698, Value: 6
  ID: 717, Value: 6
  ID: 722, Value: 6
  ID: 728, Value: 6
  ID: 730, Value: 6
  ID: 738, Value: 6
  ID: 747, Value: 6
  ID: 756, Value: 6
  ID: 766, Value: 6
  ID: 572, Value: 1
  ID: 580, Value: 2
  ID: 582, Value: 2
  ID: 603, Value: 1
  ID: 605, Value: 1
  ID: 613, Value: 1
  ID: 617, Value: 3
  ID: 629, Value: 2
  ID: 550, Value: 2
  ID: 584, Value: 1
  ID: 553, Value: 1
Macro-etichetta: materiali/strumenti fisici -- cancelleria/uso comune
  ID: 643, Value: 6
  ID: 658, Value: 6
  ID: 682, Value: 6
  ID: 688, Value: 6
  ID: 698, Value: 6
  ID: 706, Value: 6
  ID: 722, Value: 6
  ID: 730, Value: 6
  ID: 747, Value: 6
  ID: 749, Value: 6
  ID: 759, Value: 6
